Datetime,SO2_BARC,NO_BARC,NO2_BARC,NOX_BARC,CO_BARC,O3_BARC,PM2_5_BARC,PM10_BARC,WS_BARC,WD_BARC,Temp_BARC,RH_BARC,BP_BARC,SR_BARC,FLAG_BP,FLAG_PM10_MNAR,FLAG_PM25_SPIKE,FLAG_PM25_GT_PM10,FLAG_RH_CLIP,IMPUTE_QUALITY
2024-01-01 01:00:00,1.54,15.24,93.53,108.77,1.17,5.27,126.44,279.0358901099351,1.43,95.1,13.39,98.11,1014.75,0.0,0,0,0,0,0,0
2024-01-01 02:00:00,1.54,13.88,85.92,99.8,0.71,5.14,136.39,279.0358901099351,1.2,83.79,12.56,88.25,1014.33,0.0,0,0,0,0,0,2
2024-01-01 03:00:00,0.77,25.25,104.05,129.3,0.38,4.8,135.97,224.76834047237432,0.9,78.13,11.93,94.33,1014.18,0.0,0,0,0,0,0,2
2024-01-01 04:00:00,1.44,23.43,95.11,118.54,0.71,4.86,130.37,241.5554477834959,1.22,61.73,11.24,94.39,1014.0,0.0,0,0,0,0,0,2
2024-01-01 05:00:00,0.74,13.29,80.04,93.33,0.21,4.91,121.19,191.42066472310896,1.18,66.78,10.75,98.25,1014.25,0.0,0,0,0,0,0,2
2024-01-01 06:00:00,0.74,13.15,75.18,88.33000000000001,1.4,4.58,114.75,251.4988833609398,0.65,73.45,11.15,92.18,1014.85,1.35,0,0,0,0,0,2
2024-01-01 07:00:00,1.05,17.47,89.75,107.22,1.56,4.99,109.62,207.12482044960973,0.81,73.34,11.01,95.03,1015.58,2.7,0,0,0,0,0,2
2024-01-01 08:00:00,0.93,28.03,102.45,130.48000000000002,1.57,4.6,124.02,190.89030777739333,0.22,65.03,11.22,98.34,1016.13,65.8,0,0,0,0,0,2
2024-01-01 09:00:00,1.22,33.88,121.21,155.09,2.19,4.42,121.02,323.1246816858612,0.44,56.5,12.58,91.78,1016.6,184.4,0,0,0,0,0,2
2024-01-01 10:00:00,1.08,41.93,157.6,199.53,2.23,4.82,114.9,335.0423763317164,0.63,66.97,14.4,88.53,1016.98,304.1,0,0,0,0,0,2
2024-01-01 11:00:00,0.68,37.36,156.13,193.49,1.84,6.2,123.46,280.2783786406685,1.56,66.14,15.83,99.52,1016.58,405.4,0,0,0,0,0,2
2024-01-01 12:00:00,3.57,18.37,124.55,142.92,1.68,8.28,132.14,473.5356102445605,1.47,58.96,16.49,90.96,1015.58,243.3,0,0,0,0,0,2
2024-01-01 13:00:00,4.22,8.15,92.54,100.69,1.17,9.79,140.77,283.939715011288,2.18,68.68,17.55,94.54,1014.48,335.7,0,0,0,0,0,2
2024-01-01 14:00:00,3.23,5.23,60.52,65.75,0.99,9.67,153.53,242.9593678229035,1.74,68.91,17.9,83.77,1013.55,318.5,0,0,0,0,0,2
2024-01-01 15:00:00,1.82,3.58,47.67,51.25,0.64,10.27,140.64,209.1270045860656,1.01,68.56,18.98,75.46,1012.83,316.9,0,0,0,0,0,2
2024-01-01 16:00:00,2.2,2.1,44.77,46.870000000000005,1.15,10.01,125.23,225.42158388733463,1.48,79.89,19.73,79.73,1012.6,193.8,0,0,0,0,0,2
2024-01-01 17:00:00,1.98,2.58,56.09,58.67,1.27,8.69,120.01,212.89514932112468,1.6,73.78,18.55,86.37,1012.73,52.1,0,0,0,0,0,2
2024-01-01 18:00:00,1.11,2.3,81.08,83.38,1.54,6.35,116.19,241.1423418488015,0.58,84.46,16.97,97.3,1013.03,0.6,0,0,0,0,0,2
2024-01-01 19:00:00,1.53,9.55,107.24,116.79,2.17,4.33,120.87,202.11414742935972,1.03,88.2,16.02,97.61,1013.58,0.3,0,0,0,0,0,2
2024-01-01 20:00:00,0.96,8.18,112.28,120.46,2.09,2.79,139.81,214.2950032138548,0.91,87.12,15.25,97.27,1014.38,0.0,0,0,0,0,0,2
2024-01-01 21:00:00,1.26,8.63,112.78,121.41,1.79,2.26,149.07,211.40890395071668,0.64,70.63,15.07,97.77,1014.95,0.0,0,0,0,0,0,2
2024-01-01 22:00:00,1.19,26.55,145.02,171.57000000000002,1.87,1.45,148.18,262.2819138176863,0.4,85.53,14.69,99.84,1015.25,0.0,0,0,0,0,0,2
2024-01-01 23:00:00,1.36,94.42,238.56,332.98,2.2,0.66,168.46,387.3164217523798,0.05,102.42,13.83,97.62,1014.7,0.0,0,0,0,0,0,2
2024-01-02 00:00:00,1.16,71.59,201.81,273.4,2.0,0.54,167.68,357.8484181305819,0.41,101.11,11.69,90.37,976.23,0.0,0,0,0,0,0,2
2024-01-02 01:00:00,1.23,36.49,153.92,190.41,1.32,0.44,156.13,354.4353934381164,0.97,89.7,11.77,89.32,1017.18,0.0,1,0,0,0,0,2
2024-01-02 02:00:00,1.17,29.18,143.75,172.93,1.33,0.42,146.23,358.8004421330347,1.0,80.61,11.78,92.77,1017.03,0.0,1,0,0,0,0,2
2024-01-02 03:00:00,0.88,21.6,125.24,146.84,1.31,0.51,126.97,351.4963942656721,0.65,92.03,11.72,88.42,1016.83,0.0,1,0,0,0,0,2
2024-01-02 04:00:00,0.74,13.72,104.28,118.0,1.23,0.47,118.07,264.64048790655363,0.92,61.27,11.38,87.46,1016.48,0.0,1,0,0,0,0,2
2024-01-02 05:00:00,0.9,15.1,98.01,113.11,1.49,0.5,125.79,223.968987353396,0.88,67.83,10.56,96.38,1016.03,0.0,1,0,0,0,0,2
2024-01-02 06:00:00,0.71,12.38,94.31,106.69,1.35,0.56,124.18,211.4673134099239,0.87,82.36,10.41,96.71,1016.25,1.35,1,0,0,0,0,2
2024-01-02 07:00:00,1.08,24.41,105.0,129.41,1.4,0.54,120.17,269.3697391607113,0.38,49.05,10.505,91.71,1016.6,2.6,1,0,0,0,0,2
2024-01-02 08:00:00,2.0,36.71,120.31,157.02,1.47,0.83,129.98,325.1888287929549,0.75,61.4,10.6,95.96,1016.24,69.4,1,0,0,0,0,2
2024-01-02 09:00:00,3.96,30.48,112.02,142.5,1.46,1.29,138.67,371.4394982195992,1.13,58.94,10.08,88.35,1015.88,176.0,1,0,0,0,0,2
2024-01-02 10:00:00,3.3,26.75,106.11,132.86,1.42,2.61,139.69,331.532218119313,1.26,75.3,11.56,92.03,1015.52,306.3,1,0,0,0,0,2
2024-01-02 11:00:00,1.71,14.42,84.72,99.14,1.12,6.5,155.35,270.79528605367574,0.82,88.73,12.91,93.06,1015.16,424.8,1,0,0,0,0,2
2024-01-02 12:00:00,1.44,14.54,95.58,110.12,1.28,9.22,150.3,265.0702828158385,0.57,148.04,14.51,86.42,1014.8,230.5,1,0,0,0,0,2
2024-01-02 13:00:00,1.84,17.22,99.55,116.77,1.04,10.16,147.91,269.43923710435297,0.45,110.68,17.52,73.78,1015.0233333333334,343.8,1,0,0,0,0,2
2024-01-02 14:00:00,2.41,15.95,113.43,129.38,1.02,10.19,151.49,327.28924908270767,1.53,76.12,17.94,72.32,1014.3366666666668,296.2,1,0,0,0,0,2
2024-01-02 15:00:00,3.31,21.26,131.1,152.36,1.05,7.37,146.68,342.2748685567783,1.48,95.12,17.29,76.89,1013.71,259.4,1,0,0,0,0,2
2024-01-02 16:00:00,3.36,18.75,121.45,140.2,0.88,5.3,141.73,319.3207215863694,1.3,117.43,16.86,82.32,1013.32,170.2,1,0,0,0,0,2
2024-01-02 17:00:00,2.45,17.19,117.83,135.02,1.25,4.41,141.85,336.38465803351323,0.84,115.97,16.25,87.35,1013.37,56.2,1,0,0,0,0,2
2024-01-02 18:00:00,2.32,37.17,153.19,190.36,1.49,0.9,129.95,410.6012267969351,0.58,104.69,14.3,93.45,1013.7133333333334,1.6000000000000003,1,0,0,0,0,2
2024-01-02 19:00:00,1.3,32.39,160.44,192.83,1.63,0.62,135.2,344.42794394720084,0.63,103.48,14.06,94.17,1014.43,0.8000000000000002,1,0,0,0,0,2
2024-01-02 20:00:00,1.72,34.6,157.36,191.96,1.9,0.59,146.11,360.8842939130813,0.6,97.74,13.41,89.91,1014.9533333333334,0.0,1,0,0,0,0,2
2024-01-02 21:00:00,2.11,70.71,194.21,264.92,1.98,0.57,144.58,387.8912295754798,0.11,114.47,12.97,90.37,1015.42,0.0,1,0,0,0,0,2
2024-01-02 22:00:00,1.96,54.24,167.11,221.35,1.69,0.5,145.87,378.0707789677902,0.9,108.63,12.25,86.67,1015.72,0.0,1,0,0,0,0,2
2024-01-02 23:00:00,1.26,35.17,138.96,174.13,1.42,0.46,150.93,341.2062003799196,0.46,104.38,11.31,86.18,1015.525,0.0,1,0,0,0,0,2
2024-01-03 00:00:00,0.81,25.59,131.04,156.63,1.29,0.39,141.89,348.1520564422647,0.53,128.5,10.9,94.34,1012.07,0.0,1,0,0,0,0,2
2024-01-03 01:00:00,0.31,19.55,117.99,137.54,0.86,0.93,134.89,297.15932914740984,0.4,256.1487925782877,15.614505813953487,87.07775193798449,1015.055,0.5,0,0,0,0,0,2
2024-01-03 02:00:00,0.61,10.08,107.28,117.36,0.22,0.47,127.15,248.8473054151073,0.1366666666666666,278.2323188986502,15.21856007751938,87.20317829457363,1014.94,0.0,0,0,0,0,0,2
2024-01-03 03:00:00,0.24,2.88,66.38,69.25999999999999,0.4,0.79,119.41,237.3065002739879,0.0433333333333333,351.96533818634947,16.40148941798942,87.21633720930232,1014.65,0.0,0,0,0,0,0,2
2024-01-03 04:00:00,0.27,25.39,87.7,113.09,0.21,1.02,109.08,251.11056696263145,0.0499999999999999,40.17687287365718,16.117333333333335,88.86812209302325,1014.44,0.0,0,0,0,0,0,2
2024-01-03 05:00:00,0.05,66.46899539024844,206.85,206.85,0.59,0.72,112.8,555.2539123297885,0.0933333333333333,93.18899088653004,16.075848238482386,92.74333333333334,1014.16,0.0,0,0,0,0,0,2
2024-01-03 06:00:00,0.41,110.18331185454488,143.4418469992276,119.63329401519844,0.49,0.74,107.81,575.6608067595165,0.15,31.52387351093423,16.00039837398374,91.69333333333331,1014.4533333333331,19.721812582213623,0,0,0,0,0,2
2024-01-03 07:00:00,0.51,142.4351306237171,11.16,11.16,0.4,0.63,101.1,219.6348033991694,0.24,54.65639698626365,15.76042276422764,92.0,1014.9766666666666,47.21223544973544,0,0,0,0,0,2
2024-01-03 08:00:00,0.86,149.12663292859287,0.0,73.42227654023625,0.93,0.76,97.96,221.6232590968892,0.18,52.09429769654021,16.005707317073174,92.78000000000002,1015.72,143.72776124338623,0,0,0,0,0,2
2024-01-03 09:00:00,0.82,116.16,54.1,170.26,1.54,0.94,101.02,245.6620060477764,0.1999999999999999,43.21792853744753,16.68620596205962,92.47666666666667,1016.3633333333332,256.9790674603175,0,0,0,0,0,2
