epoch,train_loss,train_mae,val_loss,val_mae,lr
1,0.022617,0.081095,0.005853,0.070836,0.00010000
2,0.007246,0.043723,0.009123,0.087938,0.00020000
3,0.005999,0.039490,0.009802,0.086798,0.00030000
4,0.005305,0.037416,0.012220,0.097047,0.00040000
5,0.004641,0.035047,0.003265,0.043361,0.00050000
6,0.004214,0.032758,0.005962,0.057058,0.00050000
7,0.003936,0.031473,0.005405,0.061024,0.00050000
8,0.003545,0.030313,0.005085,0.058951,0.00050000
9,0.003240,0.028664,0.004071,0.049715,0.00050000
10,0.003192,0.027549,0.004830,0.054076,0.00050000
11,0.003134,0.027595,0.003920,0.045130,0.00050000
12,0.002971,0.026614,0.004931,0.055732,0.00050000
13,0.002590,0.025717,0.004801,0.052877,0.00050000
14,0.002472,0.025182,0.003819,0.048523,0.00050000
15,0.002477,0.024791,0.004200,0.049271,0.00050000
16,0.002464,0.024824,0.002252,0.032475,0.00050000
17,0.002457,0.024246,0.005964,0.066608,0.00050000
18,0.002465,0.024960,0.005093,0.055637,0.00050000
19,0.002188,0.023673,0.002873,0.037261,0.00050000
20,0.002087,0.023712,0.002907,0.038514,0.00050000
21,0.002466,0.025038,0.003309,0.047591,0.00050000
22,0.002194,0.024670,0.003435,0.042849,0.00050000
23,0.002126,0.023756,0.003528,0.046518,0.00050000
24,0.001874,0.023505,0.003932,0.046553,0.00025000
25,0.001912,0.022207,0.003680,0.044244,0.00025000
26,0.001942,0.021749,0.004282,0.049345,0.00025000
27,0.001708,0.021619,0.004366,0.050365,0.00025000
28,0.001722,0.021769,0.003000,0.040337,0.00025000
29,0.001870,0.021538,0.002857,0.038949,0.00025000
30,0.001678,0.021534,0.002722,0.037785,0.00025000
31,0.001623,0.021074,0.004083,0.045015,0.00025000
